epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48583,1.50872,3.20619,1.3738,0.01128,0.86842,0.17396,0.06918,1.51513,3.22044,1.17032,0.00015003,0.00015003,0.00015003
2,5.98683,1.53287,2.55407,1.3225,0.01162,0.82989,0.28559,0.11898,1.63386,3.09113,1.25679,0.000310459,0.000310459,0.000310459
3,8.35809,1.58813,2.04183,1.34822,0.01048,0.72556,0.27237,0.12505,1.63402,2.9325,1.25672,0.000464286,0.000464286,0.000464286
4,10.7337,1.57502,1.79506,1.36183,1,0.07798,0.23363,0.10161,1.71256,2.85184,1.37927,0.000611512,0.000611512,0.000611512
5,13.0905,1.53889,1.66503,1.34664,0.09633,0.61466,0.25063,0.12121,1.64485,2.81662,1.34833,0.000752137,0.000752137,0.000752137
6,15.4258,1.52848,1.72474,1.33075,0.89664,0.07586,0.22389,0.10412,1.7671,2.72336,1.4133,0.000886161,0.000886161,0.000886161
7,17.8132,1.50572,1.58175,1.34856,0.45186,0.12357,0.23262,0.10831,1.77988,2.63672,1.42158,0.00101358,0.00101358,0.00101358
8,20.1257,1.46456,1.58499,1.3062,0.90687,0.13816,0.27234,0.13528,1.73956,2.49969,1.43851,0.0011344,0.0011344,0.0011344
9,22.4365,1.47659,1.47909,1.29078,0.39223,0.24342,0.31513,0.13536,1.84944,2.20649,1.4972,0.00124862,0.00124862,0.00124862
10,24.7835,1.45731,1.47059,1.28457,0.3845,0.28475,0.34693,0.15748,1.84489,2.07497,1.52953,0.00135624,0.00135624,0.00135624
11,27.0648,1.42542,1.45745,1.28073,0.40827,0.43233,0.33863,0.15794,1.80926,2.06432,1.49392,0.00133693,0.00133693,0.00133693
12,29.3573,1.41843,1.45672,1.27413,0.35556,0.36748,0.3634,0.16883,1.79749,1.88783,1.49873,0.00130393,0.00130393,0.00130393
13,31.6283,1.38472,1.37652,1.2678,0.40861,0.56297,0.41614,0.19037,1.85714,1.61989,1.5478,0.00127092,0.00127092,0.00127092
14,33.9205,1.41646,1.38294,1.2617,0.35592,0.55882,0.39884,0.1828,1.85028,1.62799,1.53963,0.00123791,0.00123791,0.00123791
15,36.1309,1.36181,1.32445,1.23065,0.3935,0.5187,0.43402,0.19738,1.79411,1.63924,1.4671,0.00120491,0.00120491,0.00120491
16,38.4595,1.37627,1.30274,1.26162,0.51141,0.59254,0.47478,0.21658,1.87188,1.52387,1.56394,0.0011719,0.0011719,0.0011719
17,40.7873,1.43538,1.35604,1.26837,0.68222,0.42223,0.5396,0.25555,1.78698,1.55405,1.54492,0.00113889,0.00113889,0.00113889
18,43.1357,1.38622,1.31132,1.25701,0.56281,0.56826,0.50528,0.21015,1.85469,1.54881,1.5675,0.00110589,0.00110589,0.00110589
19,45.4539,1.36958,1.2795,1.24495,0.50963,0.6015,0.46965,0.21679,1.81166,1.6191,1.54681,0.00107288,0.00107288,0.00107288
20,47.7876,1.3428,1.25572,1.2412,0.54452,0.6532,0.52507,0.23491,1.80306,1.4761,1.51228,0.00103987,0.00103987,0.00103987
21,50.078,1.31154,1.20409,1.21666,0.66722,0.4839,0.53465,0.24782,1.81384,1.38269,1.4532,0.00100687,0.00100687,0.00100687
22,52.4323,1.27225,1.18824,1.19676,0.35323,0.48496,0.41565,0.207,1.82808,1.44446,1.45841,0.000973861,0.000973861,0.000973861
23,54.7271,1.27755,1.13815,1.20457,0.2862,0.42669,0.39085,0.19565,1.8185,1.41327,1.47422,0.000940855,0.000940855,0.000940855
24,56.9992,1.27899,1.12941,1.1923,0.28052,0.42114,0.32867,0.15334,1.8401,1.62304,1.50917,0.000907848,0.000907848,0.000907848
25,59.3139,1.24372,1.08597,1.14987,0.4052,0.55268,0.37293,0.17395,1.79681,1.5026,1.45462,0.000874842,0.000874842,0.000874842
26,61.6121,1.24376,1.12595,1.17115,0.26389,0.58929,0.38208,0.1803,1.84661,1.45511,1.53533,0.000841835,0.000841835,0.000841835
27,63.9518,1.26982,1.09152,1.17507,0.31054,0.29117,0.33326,0.16504,1.80006,1.51862,1.49049,0.000808828,0.000808828,0.000808828
28,66.2388,1.25469,1.10143,1.16282,0.30666,0.31579,0.33976,0.15653,1.81676,1.53508,1.51191,0.000775822,0.000775822,0.000775822
29,68.5968,1.29062,1.13289,1.2266,0.86203,0.32801,0.35227,0.17856,1.80725,1.40693,1.49074,0.000742815,0.000742815,0.000742815
30,70.8911,1.20397,1.04375,1.13704,0.87483,0.33492,0.3681,0.18193,1.80668,1.37681,1.50151,0.000709809,0.000709809,0.000709809
31,73.2143,1.22905,1.0422,1.15748,0.8782,0.32687,0.37171,0.19011,1.74846,1.37181,1.43599,0.000676802,0.000676802,0.000676802
