epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.56358,1.66217,3.5931,1.8224,0.00442,0.95495,0.0699,0.02921,1.63693,3.23648,1.71299,0.00031438,0.00031438,0.00031438
2,13.3146,1.54229,2.96604,1.70348,0.00483,0.90451,0.18811,0.08553,1.48133,3.03467,1.76507,0.000630318,0.000630318,0.000630318
3,18.8886,1.53527,2.69202,1.71433,0.7256,0.05716,0.14094,0.05345,1.63515,3.20309,2.01531,0.00093324,0.00093324,0.00093324
4,24.2906,1.5541,2.45025,1.70311,0.08212,0.16954,0.04964,0.01635,1.97517,3.3533,2.66935,0.00122315,0.00122315,0.00122315
5,29.7276,1.55749,2.347,1.68484,0.08232,0.13837,0.05266,0.025,1.8428,4.47546,2.49855,0.00131582,0.00131582,0.00131582
6,35.1186,1.5643,2.31912,1.68744,0.34989,0.35705,0.30128,0.15399,1.70916,2.96817,2.0639,0.00128753,0.00128753,0.00128753
7,40.5246,1.56619,2.16672,1.70438,0.35958,0.34585,0.3008,0.14499,1.91977,2.93464,2.17547,0.00125923,0.00125923,0.00125923
8,45.8746,1.52374,2.17744,1.69799,0.26799,0.23103,0.15031,0.07485,1.77159,5.41509,2.23421,0.00123094,0.00123094,0.00123094
9,51.2787,1.4736,2.08797,1.65483,0.43407,0.24314,0.25807,0.14367,1.82598,3.58798,2.3574,0.00120265,0.00120265,0.00120265
10,56.6816,1.48602,1.96471,1.65344,0.43878,0.53309,0.45756,0.25884,1.53331,2.37539,1.89025,0.00117435,0.00117435,0.00117435
11,62.0396,1.46526,1.871,1.61366,0.42807,0.56262,0.47912,0.27822,1.53878,2.2453,1.84914,0.00114606,0.00114606,0.00114606
12,67.5036,1.43376,1.84944,1.59158,0.51469,0.59904,0.52144,0.28258,1.61911,1.92346,1.95644,0.00111776,0.00111776,0.00111776
13,72.8816,1.44832,1.82523,1.59918,0.44638,0.61774,0.49406,0.27867,1.49631,1.87604,1.79555,0.00108947,0.00108947,0.00108947
14,78.3246,1.41271,1.70794,1.58069,0.48901,0.42498,0.42959,0.24136,1.60172,2.09062,1.93792,0.00106118,0.00106118,0.00106118
15,83.6996,1.43357,1.70905,1.58399,0.51826,0.62742,0.5632,0.30654,1.45865,1.91012,1.77775,0.00103288,0.00103288,0.00103288
16,89.0996,1.39999,1.75354,1.59268,0.64131,0.46385,0.54782,0.3102,1.4525,1.91136,1.77018,0.00100459,0.00100459,0.00100459
17,94.4436,1.39179,1.65661,1.544,0.50397,0.48495,0.46557,0.25286,1.64108,2.10001,1.89352,0.000976293,0.000976293,0.000976293
18,99.7646,1.373,1.54178,1.53317,0.46482,0.47069,0.43702,0.24338,1.72602,2.24505,2.09915,0.000947999,0.000947999,0.000947999
19,105.09,1.36354,1.52016,1.519,0.57632,0.63186,0.54732,0.31471,1.51221,1.7456,1.81806,0.000919704,0.000919704,0.000919704
20,110.477,1.35555,1.53471,1.52546,0.63748,0.53488,0.59287,0.35176,1.41767,1.54519,1.71643,0.00089141,0.00089141,0.00089141
21,115.951,1.30689,1.48398,1.48479,0.59025,0.63312,0.60819,0.36448,1.41941,1.47068,1.69665,0.000863116,0.000863116,0.000863116
22,121.354,1.32708,1.41461,1.49526,0.63745,0.66886,0.65551,0.38523,1.41022,1.41485,1.71861,0.000834822,0.000834822,0.000834822
23,126.731,1.32468,1.37186,1.49987,0.62884,0.63767,0.64296,0.36095,1.4688,1.433,1.75709,0.000806528,0.000806528,0.000806528
24,132.147,1.31435,1.40202,1.50154,0.56364,0.68821,0.58632,0.34626,1.40464,1.43633,1.70759,0.000778233,0.000778233,0.000778233
25,137.552,1.29805,1.35901,1.4753,0.56261,0.69947,0.58316,0.33607,1.37159,1.4294,1.67967,0.000749939,0.000749939,0.000749939
26,142.955,1.23585,1.33019,1.44221,0.6075,0.76483,0.68625,0.389,1.43303,1.34947,1.71148,0.000721645,0.000721645,0.000721645
27,148.306,1.26326,1.32699,1.47092,0.53124,0.73906,0.61662,0.35155,1.44105,1.4336,1.72395,0.000693351,0.000693351,0.000693351
28,153.727,1.24537,1.28684,1.42897,0.59663,0.74718,0.68306,0.39668,1.38691,1.34572,1.7073,0.000665057,0.000665057,0.000665057
29,159.128,1.19798,1.29463,1.4168,0.68418,0.77988,0.75153,0.44705,1.39984,1.22131,1.68193,0.000636762,0.000636762,0.000636762
30,164.536,1.21434,1.2772,1.41233,0.63669,0.79417,0.74643,0.42968,1.42956,1.17791,1.70595,0.000608468,0.000608468,0.000608468
31,169.88,1.22237,1.21765,1.40672,0.69708,0.72449,0.67489,0.3965,1.44,1.25917,1.68988,0.000580174,0.000580174,0.000580174
32,175.318,1.20409,1.23463,1.40556,0.7427,0.70541,0.73827,0.42283,1.43893,1.17978,1.69467,0.00055188,0.00055188,0.00055188
33,180.659,1.17748,1.14784,1.39303,0.75623,0.71808,0.74364,0.44619,1.38529,1.0907,1.67736,0.000523586,0.000523586,0.000523586
34,186.066,1.20826,1.16999,1.39945,0.66452,0.80502,0.7288,0.44823,1.36089,1.20846,1.61583,0.000495291,0.000495291,0.000495291
35,191.499,1.16294,1.13085,1.38048,0.73721,0.74517,0.77557,0.45982,1.35473,1.10076,1.60536,0.000466997,0.000466997,0.000466997
36,196.878,1.18141,1.15882,1.39125,0.77727,0.76871,0.79328,0.48214,1.32681,1.02721,1.58324,0.000438703,0.000438703,0.000438703
37,202.273,1.12126,1.12564,1.33699,0.74044,0.75514,0.78266,0.47743,1.3344,1.06813,1.58551,0.000410409,0.000410409,0.000410409
