epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.65112,1.39912,3.34581,1.4216,0.00385,0.86667,0.05475,0.0306,0.68309,3.02218,1.22621,0.00010002,0.00010002,0.00010002
2,5.81281,1.02072,3.05616,1.18541,0.00439,1,0.32101,0.22502,0.76192,2.90639,1.12757,0.000212419,0.000212419,0.000212419
3,7.84039,0.93816,2.83438,1.10826,0.00432,1,0.43047,0.30345,0.63578,2.81571,0.99314,0.000320197,0.000320197,0.000320197
4,9.79047,0.84958,2.42456,1.10451,0.00427,1,0.56608,0.41163,0.54993,2.75334,0.94086,0.000423355,0.000423355,0.000423355
5,11.8089,1.04112,2.31679,1.11591,0.00426,1,0.58378,0.44676,0.62325,2.64846,1.02255,0.000521891,0.000521891,0.000521891
6,13.7294,0.93583,2.08907,1.08161,0.00427,1,0.53111,0.43018,0.62097,2.54249,1.00771,0.000615806,0.000615806,0.000615806
7,15.6827,0.91778,2.19521,1.13679,0.34853,0.14073,0.44859,0.33052,0.83064,2.56479,1.20396,0.000705101,0.000705101,0.000705101
8,17.5944,1.10468,1.85951,1.13518,0.50114,0.36858,0.50147,0.36436,0.9999,2.43637,1.33575,0.000789775,0.000789775,0.000789775
9,19.5104,0.96541,1.73821,1.08553,0.43225,0.50839,0.45123,0.30119,0.92255,2.21034,1.18481,0.000869827,0.000869827,0.000869827
10,21.3743,1.36027,2.65949,1.48178,0.43879,0.65833,0.52743,0.37348,0.84616,2.16965,1.16682,0.000945259,0.000945259,0.000945259
11,23.2986,0.95838,1.76095,1.07507,0.37145,0.48333,0.47549,0.33786,1.0244,2.38934,1.46735,0.00101607,0.00101607,0.00101607
12,25.2811,1.03076,1.67265,1.10826,0.42129,0.90496,0.52078,0.3252,1.00332,2.24995,1.32748,0.00108226,0.00108226,0.00108226
13,27.1205,1.1525,1.8828,1.24278,0.3869,0.88936,0.51733,0.34541,0.93536,2.15216,1.31336,0.00114383,0.00114383,0.00114383
14,29.0021,0.83928,1.63045,1.082,0.36557,0.65833,0.62144,0.43717,0.98798,2.04334,1.32009,0.00120078,0.00120078,0.00120078
15,31.012,0.8942,1.58043,1.08259,0.43501,0.76848,0.61557,0.46179,0.92279,1.78497,1.24182,0.00120491,0.00120491,0.00120491
16,33.008,0.79422,3.40461,0.9277,0.38536,0.86984,0.47704,0.36904,0.86499,1.75088,1.12692,0.0011719,0.0011719,0.0011719
17,34.8816,0.87887,1.55495,1.06648,0.37113,0.88518,0.48246,0.37181,0.86555,1.84658,1.1113,0.00113889,0.00113889,0.00113889
18,36.8226,0.89967,1.47007,1.04066,0.41942,0.88168,0.46503,0.33406,0.87654,1.8764,1.1474,0.00110589,0.00110589,0.00110589
19,38.7334,0.88854,1.50439,1.18456,0.3538,0.81667,0.43427,0.32697,0.83419,1.94005,1.15476,0.00107288,0.00107288,0.00107288
20,40.6884,0.88805,1.52049,1.07522,0.34478,0.79167,0.40119,0.28776,0.94748,1.91909,1.23721,0.00103987,0.00103987,0.00103987
21,42.5268,0.95426,1.52305,1.0762,0.3672,0.86667,0.39104,0.29254,0.91634,1.90628,1.19596,0.00100687,0.00100687,0.00100687
22,44.3996,0.91804,1.45761,1.03863,0.40635,0.6835,0.45979,0.33464,0.94508,2.1423,1.2342,0.000973861,0.000973861,0.000973861
23,46.2394,0.89282,1.53798,1.0306,0.33655,0.66667,0.37716,0.27553,0.87803,2.16651,1.21957,0.000940855,0.000940855,0.000940855
24,48.0924,0.84435,1.37291,1.0549,0.335,0.69775,0.37113,0.24997,0.96421,2.08065,1.31553,0.000907848,0.000907848,0.000907848
25,49.9476,0.94889,1.43178,1.0577,0.33011,0.55049,0.37771,0.25866,1.03028,1.95561,1.38189,0.000874842,0.000874842,0.000874842
